,,,Filtered ->,,,Filtered ->,,Data ->,,
Giza,Egypt,5598402,,Rangkasbitung,137041,,,,,
Zhaotong,China,5591000,,Bima,136492,,,,,
Yichun,China,5573200,,Pageralam,136244,,,,,
Nairobi,Kenya,5545000,,Blitar,132018,,,,,
Guadalajara,Mexico,5525000,,Batang,127832,,,,,
Philadelphia,United States,5512873,,Parepare,129542,,,,,
Ankara,Turkey,5503985,,Garut,127583,,,,,
Tai'an,China,5494207,,Payakumbuh,125608,,,,,
Dazhou,China,5468097,,Leuwiliang,124670,,,,,
Langfang,China,5464087,,Magelang,124912,,,,,
Yongzhou,China,5452100,,Indramayu,123263,,,,,
Toronto,Canada,5429524,,Pati,122785,,,,,
Suihua,China,5418153,,Kotamobagu,120597,,,,,
Saint Petersburg,Russia,5384342,,Soreang,116780,,,,,
Qiqihar,China,5367003,,Tarogong,115660,,,,,
Suzhou,China,5352924,,Rawasari,114869,,,,,
Monterrey,Mexico,5341171,,Bukittinggi,113326,,,,,
Belo Horizonte,Brazil,5328000,,Kuningan,111742,,,,,
Weinan,China,5286077,,Baleraja,111475,,,,,
Rangoon,Myanmar,5209541,,Pelabuhanratu,109523,,,,,
Zhangzhou,China,5140000,,Ciamis,109839,,,,,
Yuncheng,China,5134779,,Paleng,109319,,,,,
Xianyang,China,5096001,,Manokwari,107325,,,,,
Guilin,China,5085500,,Raba,106101,,,,,
Atlanta,United States,5046555,,Maumere,104285,,,,,
Taizhou,China,5031000,,Biak,103610,,,,,
Kashan,Iran,5000000,,Soasio,103171,,,,,
Bozhou,China,4996844,,Tanjungpandan,103062,,,,,
Abidjan,C̫te d'Ivoire,4980000,,Sungai Penuh,101325,,,,,
Suqian,China,4986192,,Sungailiat,100750,,,,,
Huaihua,China,4979600,,Sumber,96725,,,,,
Ji'an,China,4956600,,Nabire,99848,,,,,
Xiaoganzhan,China,4921000,,Sibolga,94971,,,,,
Pingdingshan,China,4904701,,Sepatan,92353,,,,,
Jiujiang,China,4896800,,Cisauk,90846,,,,,
Alexandria,Egypt,4870000,,Ambarawa,63193,,,,,
Mianyang,China,4868243,,Kresek,60735,,,,,
Sydney,Australia,4840600,,Wamena,64967,,,,,
Huanglongsi,China,4824016,,Kronjo,55152,,,,,
Washington,United States,4810669,,Cakung,39126,,,,,
Barcelona,Spain,4800000,,Padangpanjang,52422,,,,,
Changsha,China,4766296,,Merauke,34412,,,,,
Chenzhou,China,4744500,,Kulat,30012,,,,,
Anqing,China,4723000,,Kelandis,10353,,,,,
Jiangmen,China,4630300,,Sofifi,2000,,,,,
Xinpu,China,4599360,,Tanjung Selor,,,,,,
Yibin,China,4588804,,Tomohon,96411,,,,,
Yangzhou,China,4559797,,Lawang,93563,,,,,
Melbourne,Australia,4529500,,Tatakan,92361,,,,,
Berlin,Germany,4473101,,Simeulu,93762,,,,,
Hengshui,China,4472000,,Ende,87269,,,,,
Timbio,Colombia,4444444,,Pariaman,85485,,,,,
Kunming,China,4422686,,Sumenep,84656,,,,,
Yiyang,China,4413800,,Tual,82955,,,,,
Guigang,China,4409200,,Karanganyar,80812,,,,,
Changchun,China,4408154,,Atambua,82196,,,,,
Jiangguanchi,China,4379998,,Watampone,81629,,,,,
Casablanca,Morocco,4370000,,Mandiraja Kulon,78090,,,,,
Meizhou,China,4378800,,Subulussalam,78801,,,,,
Zhangjiakou,China,4345485,,Toboali,78780,,,,,
Chifeng,China,4341245,,Tuban,76242,,,,,
Urumqi,China,4335017,,Sentani,75742,,,,,
Suzhou,China,4330000,,Majalengka,73052,,,,,
Izmir,Turkey,4320519,,Bagan Si Api-api,73360,,,,,
Linfen,China,4316610,,Raha,69980,,,,,
Shantou,China,4312192,,Solok,68602,,,,,
Kabul,Afghanistan,4273156,,Kampung Tengah,66211,,,,,
Mogadishu,Somalia,4249083,,Singaparna,65464,,,,,
Luzhou,China,4218427,,Lahat,65906,,,,,
Hefei,China,4216940,,Meulaboh,64646,,,,,
Boston,United States,4208580,,Sumbawa Besar,62753,,,,,
Liuzhou,China,4157934,,Sawahlunto,61427,,,,,
Zhaoqing,China,4151700,,Barabai,60873,,,,,
